split,n,pos_pct,roc_auc,pr_auc,prec@top5pct,n@top5pct,prec@top10pct,n@top10pct,prec@top20pct,n@top20pct,date_range,n_train
fold_0,115,22.6,0.6573,0.324,0.2,5,0.2727,11,0.3913,23,2023-01-04→2023-09-05,116
fold_1,115,21.7,0.8018,0.5236,0.6,5,0.6364,11,0.5217,23,2023-09-06→2024-03-19,231
fold_2,115,16.5,0.7714,0.3366,0.2,5,0.3636,11,0.3478,23,2024-03-25→2024-09-13,346
fold_3,115,23.5,0.6848,0.3435,0.4,5,0.2727,11,0.2609,23,2024-09-14→2025-02-18,461
fold_4,115,24.3,0.7607,0.5143,0.6,5,0.7273,11,0.5652,23,2025-02-20→2025-09-15,576
