ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
LPCN,2024-06-18,LPCN 1154,NCT02081300,best_match,,2,5
PALI,2023-03-31,PALI-2108,NCT07428096,best_match,,1,2
CRDF,2024-12-17,onvansertib,NCT06106308,best_match,,1,5
CV,2025-12-10,tirzepatide,NCT04255433,best_match,,1,1
PEPG,2024-07-31,PGN-EDO51,NCT06079736,best_match,,1,2
TVGN,2024-10-17,TVGN 489,,no_candidates,No trials found for 'TVGN 489' or variations ['TVGN'],2,0
TVGN,2024-08-07,TVGN 489,,no_candidates,No trials found for 'TVGN 489' or variations ['TVGN'],2,0
AURA,2023-11-07,belzupacap sarotalocan (bel-sar),NCT06007690,best_match,,1,1
ANVS,2024-04-26,buntanetap,NCT06709014,best_match,,1,4
EQ,2025-02-06,itolizumab,NCT04475588,best_match,,1,5
ALEC,2023-08-04,Alecensa (alectinib),NCT06765109,best_match,,1,5
ENLV,2023-04-04,Allocetra,NCT06233474,best_match,,1,5
OSTX,2024-12-13,OST-HER2,,no_candidates,No trials found for 'OST-HER2',1,0
LPCN,2023-05-23,LPCN 1154,NCT02081300,best_match,,2,5
NNNN,2025-06-25,CT-868,NCT06062069,best_match,,1,1
GALT,2024-12-27,belapectin,NCT02462967,best_match,,1,5
PYXS,2023-03-30,PYX-201,NCT06795412,best_match,,1,2
OMER,2023-10-16,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
SCLX,2025-07-17,SP-102 (SEMDEXA),NCT03372161,best_match,,2,2
STOK,2023-07-25,STK-001,NCT04740476,best_match,,1,2
CRVS,2023-05-10,CPI-818,NCT03952078,best_match,,1,1
GOSS,2023-07-20,seralutinib,NCT07181382,best_match,,1,3
TRDA,2023-11-22,retatrutide,NCT07165028,best_match,,1,4
ONMD,2023-11-08,Paradise system (Recor Medical),NCT05027685,best_match,,1,5
KALA,2023-01-04,KPI-012,NCT05727878,single_match,,1,1
KZIA,2025-12-03,paxalisib,NCT05009992,best_match,,1,3
EVO,2024-04-24,EVO ICL,NCT06700460,best_match,,1,5
CCCC,2025-08-07,cemsidomide,NCT04756726,best_match,,1,2
PYXS,2025-10-09,PYX-201,NCT06795412,best_match,,1,2
CGTX,2025-07-10,CT1812 (zervimesine),NCT03507790,best_match,,1,1
BGM,2025-09-23,BGM0504,NCT06704581,best_match,,1,4
SLDB,2025-02-18,SGT-003,NCT07160634,best_match,,1,2
INKT,2023-05-03,botensilimab,NCT03860272,best_match,,1,5
PBYI,2025-08-11,alisertib,NCT02109328,best_match,,1,2
IKT,2025-01-30,risvodetinib,NCT05424276,single_match,,1,1
UNCY,2024-08-13,UNI-494,,no_candidates,No trials found for 'UNI-494' or variations ['UNI-494'],2,0
TVGN,2024-01-26,TVGN-489,,no_candidates,No trials found for 'TVGN-489' or variations ['TVGN-489'],2,0
TNXP,2023-05-09,TNX-102 SL,NCT02436096,best_match,,1,5
BCYC,2024-12-13,zelenectide pevedotin,NCT06225596,best_match,,1,3
ENLV,2025-08-18,Allocetra,NCT06233474,best_match,,1,5
DWTX,2023-08-10,IMC-1,NCT04748705,best_match,,1,2
TIL,2024-07-12,lifileucel,NCT06743126,best_match,,1,1
PMVP,2023-11-01,rezatapopt,NCT04585750,best_match,,1,3
CADL,2024-12-13,CAN-2409,NCT01436968,best_match,,1,5
NTHI,2025-04-04,NEO100-01,,no_candidates,No trials found for 'NEO100-01',1,0
PHAT,2023-01-04,vonoprazan,NCT07275827,best_match,,1,5
INKT,2025-07-15,agenT-797,NCT05108623,best_match,,1,2
ENGN,2023-11-03,EG-70 (detalimogene voraplasmid),NCT04752722,best_match,,2,1
TNXP,2024-06-10,TNX-102 SL,NCT07413367,best_match,,1,1
PMN,2023-08-16,obinutuzumab (Gazyva/Gazyvaro),NCT03701282,best_match,,1,5
MIST,2023-12-26,etripamil,NCT05410860,best_match,,1,5
PTHS,2025-07-11,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
ATAI,2023-01-06,PCN-101,NCT05414422,single_match,,1,1
TVTX,2023-05-02,sparsentan,NCT03762850,best_match,,1,5
ARVN,2023-12-06,vepdegestrant,NCT04072952,best_match,,1,5
AVTX,2023-04-10,AVTX-002 (quisovalimab),NCT05288504,best_match,,2,1
ARCT,2025-08-12,ARCT-2138 and ARCT-2304,NCT06125691,single_match,,2,1
SANA,2023-04-13,UP421,NCT06239636,single_match,,1,1
PRLD,2024-08-13,PRT3789,NCT05639751,best_match,,1,1
HUMA,2025-03-26,V007,,no_candidates,No trials found for 'V007',1,0
WVE,2023-12-07,WVE-N531,NCT07209332,best_match,,1,2
CTNM,2025-06-20,PIPE-791,NCT06810245,best_match,,1,3
OM,2024-12-03,ADSTILADRIN (nadofaragene firadenovec-vncg),NCT06545955,best_match,,2,5
NBP,2025-08-01,Givastomig,NCT07432295,best_match,,1,2
BMEA,2023-12-11,BMF-219,NCT05731544,best_match,,1,5
