ticker,event_date,drug_name,nct_id_found,result,rejection_reason,queries_tried,final_candidates
EYPT,2024-05-06,DURAVYU,,no_candidates,No trials found for 'DURAVYU',1,0
STTK,2023-12-14,SL-172154,NCT05275439,best_match,,1,4
CGTX,2025-07-07,CT1812 (zervimesine),NCT03507790,best_match,,1,1
KZIA,2024-12-31,paxalisib,NCT05009992,best_match,,1,3
NBP,2025-04-14,DL-3-n-butylphthalide (NBP),NCT05976152,best_match,,1,5
CADL,2024-04-11,CAN-2409,NCT07332000,best_match,,1,1
ORGO,2025-05-09,ReNu®,NCT05565937,best_match,,1,5
PRLD,2024-09-13,PRT3789,NCT05639751,best_match,,1,1
NGNE,2024-11-18,NGN-401,NCT05898620,single_match,,1,1
PALI,2024-04-16,PALI-2108,NCT07428096,best_match,,1,2
MREO,2025-07-10,setrusumab,NCT05125809,best_match,,1,3
BNTC,2024-04-18,BB-301,NCT06185673,single_match,,1,1
TSHA,2023-08-29,TSHA-102,NCT05606614,best_match,,1,2
ALXO,2024-08-01,evorpacept,NCT04643002,best_match,,1,5
SABS,2023-04-18,SAB-185,NCT04518410,best_match,,1,4
NAMS,2024-12-10,EB613,,no_candidates,No trials found for 'EB613',1,0
MSLE,2023-01-27,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
IBRX,2023-05-15,ANKTIVA,NCT07123727,best_match,,1,5
SCLX,2024-03-01,SP-102 (SEMDEXA),NCT03372161,best_match,,2,2
TRVI,2025-03-10,Haduvio,,no_candidates,No trials found for 'Haduvio',1,0
RIGL,2023-05-17,REZLIDHIA (olutasidenib),NCT05564390,best_match,,1,3
SPRB,2025-09-12,TA-ERT,NCT02317640,single_match,,1,1
BCAX,2025-05-23,ficerafusp alfa,NCT04429542,best_match,,1,1
TVTX,2023-09-21,FILSPARI (sparsentan),NCT05856760,single_match,,1,1
DWTX,2024-11-19,IMC-2,NCT06316843,single_match,,1,1
ANL,2024-11-08,anlotinib,NCT07294261,best_match,,1,5
ELTX,2024-06-28,ELI-002,NCT05726864,best_match,,1,2
QURE,2023-06-21,AMT-130,NCT04120493,best_match,,1,2
MIRA,2023-11-20,sonelokimab,NCT06641076,best_match,,1,5
SPRB,2025-10-07,tralesinidase alfa (TA-ERT),,no_candidates,No trials found for 'tralesinidase alfa (TA-ERT)' or variations ['tralesinidase'],2,0
TNXP,2023-07-28,TNX-102 SL,NCT02436096,best_match,,1,5
NAMS,2024-01-10,obicetrapib,NCT05202509,best_match,,1,5
FBIOP,2023-08-17,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
SLS,2025-01-27,SLS009,NCT04588922,single_match,,1,1
KZIA,2025-07-09,Paxalisib,NCT05009992,best_match,,1,4
HELP,2023-09-18,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
ANVS,2024-07-08,buntanetap,NCT06709014,best_match,,1,4
NNNN,2025-06-20,CT-868,NCT06062069,best_match,,1,1
CABA,2025-05-15,rese-cel (resecabtagene autoleucel),NCT06154252,best_match,,1,3
ALLO,2025-02-18,ALLO-329,NCT07085104,single_match,,1,1
INKT,2023-05-01,agenT-797,NCT05108623,best_match,,1,2
SGMT,2025-06-12,SGMT,NCT02599298,single_match,,1,1
NAUT,2025-11-03,,,no_drug_name,No drug name provided and no ticker fallback available,0,0
INKT,2024-04-04,agenT-797,NCT05108623,best_match,,1,2
RCKT,2023-09-13,RP-L301,NCT06422351,best_match,,1,1
CRDF,2023-08-08,onvansertib,NCT06106308,best_match,,1,5
CNTB,2023-11-21,rademikibart,NCT06940141,best_match,,1,5
KZIA,2025-03-07,paxalisib,NCT05009992,best_match,,1,3
ELVN,2024-03-19,ELVN-001,NCT05304377,best_match,,1,2
DWTX,2025-04-15,Halneuron,NCT05359133,best_match,,1,1
SGMO,2025-05-13,ST-920,NCT04046224,best_match,,1,1
FULC,2023-08-22,FTX-6058,NCT07431398,best_match,,1,3
PTHS,2024-04-18,NNZ-2591,NCT07281079,best_match,,1,5
IMA,2025-09-04,HLX43,NCT06907615,best_match,,1,5
PTHS,2024-05-13,NNZ-2591,NCT07281079,best_match,,1,5
AVTX,2023-09-15,AVTX-002,NCT05288504,best_match,,1,1
MBOT,2024-06-03,LIBERTY Endovascular Robotic Surgical System,NCT07301190,best_match,,2,5
NKTX,2023-06-27,NKX101,NCT04623944,single_match,,1,1
PROK,2025-09-11,rilparencel,NCT02836574,best_match,,1,1
CRBP,2023-11-30,CRB-913,NCT07310901,single_match,,1,1
NTHI,2025-04-02,NEO212,NCT06047379,single_match,,1,1
