ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
NVS,2024-12-17,2024-12-17,NCT06031844,"A Study to Investigate the Efficacy, Safety, and Tolerability of DFV890 for Inflammatory Marker Reduction in Adult Participants With Coronary Heart Disease and Elevated hsCRP",PHASE2,Novartis Pharmaceuticals,Coronary Heart Disease,24,DFV890; Placebo,,1.36,-0.96,94.26,95.55,Low,Gainer,Clinical Data,
BMEA,2024-11-18,2024-11-18,NCT05731544,Study of BMF-219 in Healthy Adult Subjects and in Adult Subjects With Type 2 Diabetes Mellitus (T2D),PHASE1/PHASE2,Biomea Fusion Inc.,Type 2 Diabetes Mellitus,443,BMF-219,96.9,-1.53,-1.68,6.53,6.43,Low,Loser,Clinical Data,
OCUL,2024-05-22,2024-05-22,NCT05814757,OTX-DED for the Short-term Treatment of the Symptoms of Dry Eye Disease (DED),PHASE2,"Ocular Therapeutix, Inc.",Dry Eye Syndromes; Eye Diseases,100,OTX-DED; Controlled Insertion; Collagen Punctal Plug,1946.2,-1.64,-4.92,6.1,6.0,Low,Loser,Clinical Data,
MREO,2023-10-30,2023-10-30,NCT04761198,A Study of Etigilimab and Nivolumab in Participants With Locally Advanced or Metastatic Tumors,PHASE1/PHASE2,Mereo BioPharma,"Solid Tumor, Adult; Advanced Solid Tumor; Metastatic Solid Tumor",76,Etigilimab; Nivolumab,59.0,4.97,10.77,1.81,1.9,Low,Gainer,Clinical Data,
NRC,2022-11-04,2022-11-04,NCT03267277,Sodium Thiosulfate for Treatment of Calcinosis Associated With Juvenile and Adult Dermatomyositis,PHASE2/PHASE3,National Institute of Environmental Health Sciences (NIEHS),Dermatomyositis; Idiopathic Inflammatory Myopathies,15,Sodium Thiosulfate,303.8,3.69,4.78,32.92,34.14,Low,Gainer,Clinical Data,
MRK,2025-06-27,2025-06-27,NCT06482112,Alternate Dosing Study of MK-6024 in Adults With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD) (MK-6024-016),PHASE2,Merck Sharp & Dohme LLC,Metabolic Dysfunction-Associated Steatotic Liver Disease; Non-alcoholic Fatty Liver Disease; Nonalcoholic Fatty Liver Disease; Liver Disease,124,Efinopegdutide,,0.34,0.42,77.4,77.66,Low,Gainer,Clinical Data,
PFE,2016-09-23,2016-09-23,NCT02007512,Efficacy and Safety Study of Enzalutamide in Combination With Exemestane in Patients With Advanced Breast Cancer,PHASE2,Pfizer,Breast Cancer,247,Enzalutamide; exemestane; Placebo (for enzalutamide),,0.32,-1.49,21.28,21.34,Low,Gainer,Clinical Data,
GILD,2023-01-30,2023-01-30,NCT04002401,Safety and Efficacy of Axicabtagene Ciloleucel in Combination With Rituximab in Participants With Refractory Large B-Cell Lymphoma,PHASE2,"Kite, A Gilead Company",Refractory Large B-cell Lymphoma,27,Axicabtagene Ciloleucel; Rituximab; Fludarabine,,-0.45,0.25,75.34,75.0,Low,Loser,Clinical Data,
ACRS,2023-10-26,2023-10-26,NCT05432596,Study of ATI-1777 in Patients 12 to 65 Years Old With Mild to Severe Atopic Dermatitis,PHASE2,"Aclaris Therapeutics, Inc.",Atopic Dermatitis,250,ATI-1777 2.0% w/w; ATI-1777 1.0% w/w; ATI-1777 0.5% w/w,311.0,-1.72,-5.15,4.66,4.58,Low,Loser,Clinical Data,
KURA,2025-07-30,2025-07-30,NCT04997902,Combination Trial of Tipifarnib and Alpelisib in Adult Recurrent/ Metastatic Head and Neck Squamous Cell Carcinoma (R/M HNSCC),PHASE1/PHASE2,"Kura Oncology, Inc.",HNSCC,45,Tipifarnib; Alpelisib,759.7,-1.1,-5.02,6.37,6.3,Low,Loser,Clinical Data,
