ticker,event_date,event_trading_date,nct_id,title,phase,sponsor,conditions,enrollment,interventions,market_cap_m,move_pct,move_2d_pct,price_before,price_after,move_class,event_type,catalyst_type,price_error
RHHBY,2023-05-19,2023-05-19,NCT03788291,Acalabrutinib and High Frequency Low Dose Subcutaneous Rituximab in Patients With Previously Untreated Chronic Lymphocytic Leukemia / Small Lymphocytic Lymphoma,PHASE2,University of Rochester,Chronic Lymphocytic Leukemia (CLL); Small Lymphocytic Lymphoma (SLL),39,Acalabrutinib; Rituximab,,1.09,0.43,36.76,37.16,Low,Gainer,Clinical Data,
NRC,2019-06,2019-06-03,NCT00945724,"Safety and Feasibility Study of Combination of State of Art Chemoimmunotherapy, Intensive Central Nervous System Prophylaxis and Scrotal Irradiation to Treat Primary Diffuse Large B-cell Lymphoma of Testis",PHASE2,International Extranodal Lymphoma Study Group (IELSG),Large B-cell Diffuse Lymphoma of Testis,54,"Rituximab, Cyclophosphamide, Doxorubicin, Vincristine, Prednisolone, liposomal cytarabine, methotrexate",303.8,-1.65,-0.8,44.61,43.88,Low,Loser,Clinical Data,
NRC,2024-04-30,2024-04-30,NCT04545541,Nebulised Heparin in Patients With Severe COVID-19,PHASE2/PHASE3,Australian National University,Covid19; Respiratory Failure,57,Nebulised unfractionated heparin (UFH),303.8,-0.15,0.99,32.61,32.56,Low,Loser,Clinical Data,
RCUS,2025-06-05,2025-06-05,NCT04262856,Study to Evaluate Monotherapy and Combination Immunotherapies in Participants With PD-L1 Positive Non-small Cell Lung Cancer,PHASE2,"Arcus Biosciences, Inc.",Non Small Cell Lung Cancer; Nonsquamous Non Small Cell Lung Cancer; Squamous Non Small Cell Lung Cancer; Lung Cancer,151,Domvanalimab; Etrumadenant; Zimberelimab,2520.4,0.31,3.85,9.6,9.63,Low,Gainer,Clinical Data,
MRK,2024-05-07,2024-05-07,NCT03969901,"Safety, Tolerability, Efficacy and Pharmacokinetics of Imipenem/Cilastatin/Relebactam (MK-7655A) in Pediatric Participants With Gram-negative Bacterial Infection (MK-7655A-021)",PHASE2/PHASE3,Merck Sharp & Dohme LLC,Suspected or Documented Gram-negative Bacterial Infection,115,IMI/REL; Active Control; Oral Switch,,2.2,1.55,120.44,123.09,Low,Gainer,Clinical Data,
AZN,2021-05-03,2021-05-03,NCT03959488,A Study to Evaluate the Safety of MEDI8897 for the Prevention of Medically Attended Respiratory Syncytial Virus(RSV) Lower Respiratory Track Infection (LRTI) in High-risk Children,PHASE2/PHASE3,AstraZeneca,Respiratory Syncytial Virus Infections,925,MEDI8897; Palivizumab,,1.19,-0.26,95.54,96.67,Low,Gainer,Clinical Data,
MRK,2023-10-11,2023-10-11,NCT03776136,Efficacy and Safety of Lenvatinib (E7080/MK-7902) Plus Pembrolizumab (MK-3475) for Advanced Melanoma in Anti-Programmed Death-1/Programmed Death-Ligand 1 (PD-1/L1)-Exposed Participants (MK-7902-004/E7080-G000-225/LEAP-004),PHASE2,Merck Sharp & Dohme LLC,Advanced Melanoma,103,lenvatinib; pembrolizumab,,-0.14,-0.02,96.5,96.36,Low,Loser,Clinical Data,
EOLS,2023-05-22,2023-05-22,NCT05320393,Study to Demonstrate Safety and Duration of Effect of 40 Units of PrabotulinumtoxinA-xvfs to Treat Glabellar Lines,PHASE2,"Evolus, Inc.",Glabellar Frown Lines,154,PrabotulinumtoxinA-Xvfs; OnabotulinumtoxinA; PrabotulinumtoxinA-Xvfs,278.7,2.12,-1.52,9.89,10.1,Low,Gainer,Clinical Data,
MRK,2024-01-04,2024-01-04,NCT04732221,A Study of the Efficacy and Safety of Frespaciguat (MK-5475) in Participants With Pulmonary Arterial Hypertension (INSIGNIA-PAH: Phase 2/3 Study of an Inhaled sGC Stimulator in PAH) (MK-5475-007),PHASE2/PHASE3,Merck Sharp & Dohme LLC,"Pulmonary Arterial Hypertension; Hypertension, Pulmonary",168,Frespaciguat; Placebo to Frespaciguat,,1.95,2.13,107.67,109.77,Low,Gainer,Clinical Data,
NRC,2024-12-31,2024-12-31,NCT04172402,NGS as the First-line Treatment in Advanced Biliary Tract Cancer,PHASE2,"National Health Research Institutes, Taiwan",Advanced Biliary Tract Cancer,48,TS-1; Gemcitabine; Nivolumab,303.8,1.32,-0.69,16.84,17.06,Low,Gainer,Clinical Data,
NRC,2023-01-23,2023-01-23,NCT04956666,A Roll-over Study to Provide Continued Treatment With Lyophilized Pegaspargase (S95014) in Pediatric Patients With Acute Lymphoblastic Leukemia (ALL),PHASE2,Institut de Recherches Internationales Servier,Acute Lymphoblastic Leukemia,75,Lyophilized S95014,303.8,-0.92,-1.65,41.01,40.63,Low,Loser,Clinical Data,
AZN,2024-04-04,2024-04-04,NCT05638737,A Study in Participants With Non-cirrhotic NASH With Fibrosis,PHASE2,AstraZeneca,Non-Cirrhotic Non-alcoholic Steatohepatitis With Fibrosis,112,AZD4831; Placebo,,0.79,0.96,128.69,129.71,Low,Gainer,Clinical Data,
NRC,2022-09-20,2022-09-20,NCT03258554,Radiation Therapy With Durvalumab or Cetuximab in Treating Patients With Locoregionally Advanced Head and Neck Cancer Who Cannot Take Cisplatin,PHASE2/PHASE3,National Cancer Institute (NCI),Clinical Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8; Head and Neck Squamous Cell Carcinoma; Hypopharyngeal Squamous Cell Carcinoma; Laryngeal Squamous Cell Carcinoma; Oral Cavity Squamous Cell Carcinoma; Oropharyngeal Squamous Cell Carcinoma; Pathologic Stage III HPV-Mediated (p16-Positive) Oropharyngeal Carcinoma AJCC v8; Squamous Cell Carcinoma of Unknown Primary; Stage III Hypopharyngeal Carcinoma AJCC v8; Stage III Laryngeal Cancer AJCC v8; Stage III Lip and Oral Cavity Cancer AJCC v8; Stage III Oropharyngeal (p16-Negative) Carcinoma AJCC v8; Stage IVA Hypopharyngeal Carcinoma AJCC v8; Stage IVA Laryngeal Cancer AJCC v8; Stage IVA Lip and Oral Cavity Cancer AJCC v8; Stage IVA Oropharyngeal (p16-Negative) Carcinoma AJCC v8; Stage IVB Hypopharyngeal Carcinoma AJCC v8; Stage IVB Laryngeal Cancer AJCC v8; Stage IVB Lip and Oral Cavity Cancer AJCC v8; Stage IVB Oropharyngeal (p16-Negative) Carcinoma AJCC v8,196,Cetuximab; Durvalumab; Intensity-Modulated Radiation Therapy,303.8,0.0,0.47,34.76,34.76,Low,Loser,Clinical Data,
BHVN,2020-06-02,,NCT03299166,Troriluzole (BHV-4157) in Adult Participants With Obsessive Compulsive Disorder,PHASE2/PHASE3,"Biohaven Pharmaceuticals, Inc.",Obsessive-Compulsive Disorder,426,Troriluzole; Placebo,1528.6,,,,,Unknown,Loser,Clinical Data,Insufficient price data
AZN,2024-12-04,2024-12-04,NCT06336356,A Study to Evaluate Cortisol Reserve in Response to Adrenocorticotropic Hormone (ACTH) Stimulation Test Following Baxdrostat Treatment Compared to Placebo in Participants With Uncontrolled Hypertension,PHASE2,AstraZeneca,Uncontrolled Hypertension,48,Baxdrostat; Placebo,,-1.87,-0.76,131.88,129.42,Low,Loser,Clinical Data,
GILD,2024-01-23,2024-01-23,NCT04891770,Study to Evaluate the Safety and Efficacy of Selgantolimod (SLGN)-Containing Combination Therapies for the Treatment of Chronic Hepatitis B (CHB),PHASE2,Gilead Sciences,Chronic Hepatitis B,103,Tenofovir Alafenamide; VIR-2218; Nivolumab,,1.34,1.4,73.3,74.28,Low,Gainer,Clinical Data,
SPRY,2024-02-29,2024-02-29,NCT05496465,Safety and Efficacy of Intranasal Epinephrine After Administration of ARS -1 in Subjects With Frequent Urticaria Flares,PHASE2,"ARS Pharmaceuticals, Inc.",Urticaria,24,ARS-1; Placebo,917.3,-7.21,-3.44,9.02,8.37,Medium,Loser,Clinical Data,
NRC,2022-11-10,2022-11-10,NCT04969263,COVID-19 Protection After Transplant Pilot Study,PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),Kidney Transplant Recipients,81,BNT162b2 vaccine (Pfizer/BioNTech); mRNA-1273 vaccine (Moderna),303.8,5.27,2.53,35.06,36.91,Medium,Gainer,Clinical Data,
NRC,2023-04-30,2023-05-01,NCT05727098,Dexmedetomedine and Ketamine in Erector Spinae Block for Postoperative Analgesia Following Mastectomy.,PHASE2/PHASE3,"National Cancer Institute, Egypt",Breast Cancer,75,Bupivacaine Hydrochloride; Bupivacaine Hydrochloride and dexmedetomedine; Bupivacaine Hydrochloride and ketamine,303.8,2.11,1.42,40.02,40.87,Low,Gainer,Clinical Data,
NVS,2022-04-25,2022-04-25,NCT03671330,"Efficacy and Safety of Ribociclib in Pre- and Postmenopausal Chinese Women With HR Positive, HER2-negative, Advanced Breast Cancer.",PHASE2,Novartis Pharmaceuticals,Breast Cancer,327,Ribociclib Placebo; Ribociclib; NSAI: Letrozole or Anastrazole,,1.38,-0.28,79.42,80.52,Low,Gainer,Clinical Data,
NVS,2023-08-22,2023-08-22,NCT04164732,Study of Efficacy of Oral Sacubitril/Valsartan in Adult Patients With Non-obstructive Hypertrophic Cardiomyopathy,PHASE2,Novartis Pharmaceuticals,"Cardiomyopathy, Hypertrophic",46,LCZ696; Placebo,,-0.38,-0.15,95.67,95.31,Low,Loser,Clinical Data,
NRC,2025-06-23,2025-06-23,NCT03173950,Immune Checkpoint Inhibitor Nivolumab in People With Recurrent Select Rare CNS Cancers,PHASE2,National Cancer Institute (NCI),Medulloblastoma; Ependymoma; Pineal Region Tumors; Choroid Plexus Tumors; Atypical/Malignant Meningioma,133,Nivolumab,303.8,2.72,4.17,16.15,16.59,Low,Gainer,Clinical Data,
NRC,2021-06-30,2021-06-30,NCT03526679,Lenvatinib and Eribulin in Advanced Soft Tissue Sarcoma,PHASE1/PHASE2,National Taiwan University Hospital,Leiomyosarcoma; Liposarcoma; Soft Tissue Sarcoma Adult; Advanced Cancer,30,Eribulin; Lenvatinib,303.8,-0.91,2.57,41.34,40.97,Low,Loser,Clinical Data,
SRRK,2021-01-19,2021-01-19,NCT03921528,An Active Treatment Study of SRK-015 in Patients With Type 2 or Type 3 Spinal Muscular Atrophy,PHASE2,"Scholar Rock, Inc.","Spinal Muscular Atrophy; Spinal Muscular Atrophy Type 3; Spinal Muscular Atrophy Type 2; SMA; Neuromuscular Diseases; Muscular Atrophy; Atrophy; Muscular Atrophy, Spinal; Neuromuscular Manifestations",58,SRK-015,4515.9,-0.89,-10.27,57.43,56.92,Low,Loser,Clinical Data,
TERN,2025-08-19,2025-08-19,NCT06854952,"A Clinical Study to Evaluate the Efficacy, Safety, and Tolerability of TERN-601 in Adults With Overweight or Obesity",PHASE2,"Terns, Inc.",Overweight or Obesity,167,TERN-601; Matching Placebo,4581.3,-3.11,-6.8,6.76,6.55,Low,Loser,Clinical Data,
ANRO,2024-09-05,2024-09-05,NCT05712187,Phase 2b Study of ALTO-100 in MDD,PHASE2,Alto Neuroscience,Major Depressive Disorder,301,ALTO-100; Placebo,611.7,-5.07,-1.72,13.4,12.72,Medium,Loser,Clinical Data,
SNY,2024-11-26,2024-11-26,NCT03996291,Long Term Safety and Efficacy Study of Tolebrutinib (SAR442168) in Participants With Relapsing Multiple Sclerosis,PHASE2,Sanofi,Relapsing Multiple Sclerosis,125,Tolebrutinib,,-0.14,0.77,46.3,46.23,Low,Loser,Clinical Data,
PROK,2023-12,2023-12-01,NCT02836574,A Study of Renal Autologous Cell Therapy (REACT) in Type 2 Diabetics With Chronic Kidney Disease,PHASE2,Prokidney,Type 2 Diabetes Mellitus; Chronic Kidney Disease,83,Renal Autologous Cell Therapy (REACT); Renal Biopsy,673.9,0.3,-9.52,1.68,1.68,Low,Gainer,Clinical Data,
NRC,2023-09-19,2023-09-19,NCT03033576,Testing Treatment With Ipilimumab and Nivolumab Compared to Treatment With Ipilimumab Alone in Advanced Melanoma,PHASE2,National Cancer Institute (NCI),Clinical Stage III Cutaneous Melanoma AJCC v8; Clinical Stage IV Cutaneous Melanoma AJCC v8; Melanoma of Unknown Primary; Mucosal Melanoma; Unresectable Cutaneous Melanoma; Unresectable Melanoma,94,Ipilimumab; Nivolumab,303.8,-0.17,1.15,43.4,43.32,Low,Loser,Clinical Data,
NRC,2023-10-25,2023-10-25,NCT03386578,"Evaluating the Pharmacokinetics, Feasibility, Acceptability, and Safety of Oral Pre-Exposure Prophylaxis for HIV Prevention During Pregnancy and Postpartum",PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),HIV Infections,780,Emtricitabine/Tenofovir Disoproxil Fumarate (FTC/TDF); Behavioral HIV risk reduction package; Enhanced adherence support,303.8,1.25,0.89,39.44,39.93,Low,Gainer,Clinical Data,
CTMX,2023-06-02,2023-06-02,NCT04596150,Study to Evaluate the Safety and Antitumor Activity of CX-2009 Monotherapy and in Combination With CX-072 in Advanced Breast Cancer,PHASE2,CytomX Therapeutics,"Neoplasms; Breast Neoplasms; Breast Neoplasms, Triple-Negative; Breast Cancer; Breast Neoplasms, Hormone Receptor Positive/HER2 Negative",125,CX-2009; CX-072,909.9,2.98,1.79,1.68,1.73,Low,Gainer,Clinical Data,
AZN,2023-09-22,2023-09-22,NCT04595370,"Efficacy, Safety and Tolerability of AZD9977 and Dapagliflozin in Participants With Heart Failure and Chronic Kidney Disease",PHASE2,AstraZeneca,Heart Failure; Chronic Kidney Disease,153,AZD9977; Dapagliflozin,,1.21,2.86,127.14,128.68,Low,Gainer,Clinical Data,
MRK,2023-12-18,2023-12-18,NCT04218851,Posaconazole (MK-5592) Intravenous and Oral in Children With Invasive Aspergillosis (IA) (MK-5592-104),PHASE2,Merck Sharp & Dohme LLC,Invasive Aspergillosis,31,Posaconazole IV; Posaconazole PFS; Posaconazole tablet,,0.88,1.31,98.61,99.48,Low,Gainer,Clinical Data,
BMY,2021-01-13,2021-01-13,NCT03338790,"An Investigational Immunotherapy Study of Nivolumab in Combination With Rucaparib, Docetaxel, or Enzalutamide in Metastatic Castration-resistant Prostate Cancer",PHASE2,Bristol-Myers Squibb,Prostate Cancer,292,nivolumab; docetaxel; enzalutamide,,-1.07,0.9,53.65,53.08,Low,Loser,Clinical Data,
AZN,2025-06-04,2025-06-04,NCT06644924,A Study Evaluating the Effect of Inhaled PT007(AS MDI) Versus Placebo MDI and Ventolin Evohaler on Lung Function in Adult Participants With Asthma,PHASE2,AstraZeneca,Asthma,118,Intervention: AS MDI; Intervention: Ventolin Evohaler; Intervention: Placebo matching AS MDI,,1.64,0.74,141.18,143.5,Low,Gainer,Clinical Data,
MRK,2022-09-23,2022-09-23,NCT05013905,A Phase 2a Safety and Efficacy Open-Label Study of PRA023 in Subjects With Moderately to Severely Active Crohn's Disease,PHASE2,"Prometheus Biosciences, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",Crohn Disease,55,PRA023 IV; Companion diagnostic (CDx),,-0.83,-1.52,79.34,78.68,Low,Loser,Clinical Data,
PLRX,2023-02-01,2023-02-01,NCT04396756,Evaluation of Efficacy and Safety of PLN-74809 in Patients With Idiopathic Pulmonary Fibrosis,PHASE2,"Pliant Therapeutics, Inc.",Idiopathic Pulmonary Fibrosis,120,PLN-74809; Placebo,79.9,-1.68,-2.97,35.04,34.45,Low,Loser,Clinical Data,
LLY,2024-03-25,2024-03-25,NCT05896527,A Study to Evaluate the Efficacy and Safety of DC-806 in Participants With Moderate to Severe Plaque Psoriasis,PHASE2,"DICE Therapeutics, Inc., a wholly owned subsidiary of Eli Lilly and Company",Plaque Psoriasis,229,DC-806; Placebo,,0.33,0.56,760.01,762.5,Low,Gainer,Clinical Data,
NRC,2023-02-07,2023-02-07,NCT04574583,"Phase I/II Trial Investigating the Safety, Tolerability, Pharmacokinetics, Immune and Clinical Activity of SX-682 in Combination With BinTrafusp Alfa (M7824 or TGF-beta ""Trap""/PD-L1) With CV301 TRICOM in Advanced Solid Tumors (STAT)",PHASE1/PHASE2,National Cancer Institute (NCI),Metastatic Cancer; Solid Tumors,12,SX-682; M7824; MVA-BN-CV301,303.8,0.8,-2.12,42.36,42.7,Low,Gainer,Clinical Data,
PFE,2023-01-27,2023-01-27,NCT05052697,"A Study to Evaluate the Safety, Tolerability, and Immunogenicity of a Modified RNA Vaccine Against Influenza",PHASE1/PHASE2,Pfizer,"Influenza, Human",1158,mIRV; bIRV AB; qIRV,,-1.04,-1.58,36.92,36.54,Low,Loser,Clinical Data,
NVAX,2023-11-15,2023-11-15,NCT05975060,A Study to Evaluate the Safety and Immunogenicity of an (Omicron Subvariant) COVID-19 Vaccine Booster Dose in Previously Vaccinated Participants and Unvaccinated Participants.,PHASE2/PHASE3,Novavax,COVID-19,660,XBB.1.5 Vaccine (Booster); XBB.1.5 Vaccine (single dose),1647.7,-0.64,-6.57,6.24,6.2,Low,Loser,Clinical Data,
BMY,2024-11-07,2024-11-07,NCT03369223,A Study of BMS-986249 Alone and in Combination With Nivolumab in Advanced Solid Tumors,PHASE1/PHASE2,Bristol-Myers Squibb,Advanced Cancer,356,BMS-986249; Nivolumab; Ipilimumab,,-1.03,-2.06,52.05,51.51,Low,Loser,Clinical Data,
CHRS,2025-06-30,2025-06-30,NCT05359861,Trial of Atezolizumab and Bevacizumab With SRF388 or Placebo in Patients With Hepatocellular Carcinoma,PHASE2,"Coherus Oncology, Inc.",Hepatocellular Carcinoma,30,SRF388; Atezolizumab; Bevacizumab,249.6,-1.62,2.29,0.74,0.73,Low,Loser,Clinical Data,
NRC,2018-02-15,2018-02-15,NCT01711541,Combination Chemotherapy With or Without Veliparib in Treating Patients With Stage IV Head and Neck Cancer,PHASE1/PHASE2,National Cancer Institute (NCI),Head and Neck Squamous Cell Carcinoma; Stage IVA Oropharyngeal Carcinoma AJCC v7; Stage IVB Oropharyngeal Carcinoma AJCC v7,24,Carboplatin; Cisplatin; Fluorouracil,303.8,0.46,-0.46,27.37,27.49,Low,Gainer,Clinical Data,
PRTC,2024-12-12,2024-12-12,NCT04666688,LYT-200 Alone and in Combination With Chemotherapy or Tislelizumab in Patients With Locally Advanced or Metastatic Solid Tumors,PHASE1/PHASE2,PureTech,Metastatic Cancer; Solid Tumor; Pancreatic Cancer; Urothelial Carcinoma; Head and Neck Cancer; Colorectal Cancer,44,LYT-200; Tislelizumab; Gemcitabine/nab-paclitaxel,405.3,-5.12,-7.71,22.05,20.92,Medium,Loser,Clinical Data,
RHHBY,2023-09-20,2023-09-20,NCT04665843,A Study of Atezolizumab Plus Tiragolumab and Atezolizumab Plus Placebo as First-Line Treatment in Participants With Recurrent/Metastatic PD-L1 Positive Squamous Cell Carcinoma of the Head and Neck,PHASE2,Hoffmann-La Roche,Squamous Cell Carcinoma of Head and Neck,123,Atezolizumab; Tiragolumab; Placebo,,-1.23,-3.82,33.32,32.91,Low,Loser,Clinical Data,
AZN,2009-12-08,2009-12-08,NCT00278915,Faslodex in McCune-Albright Syndrome,PHASE2,AstraZeneca,"Puberty, Precocious; McCune-Albright Syndrome",30,Fulvestrant,,-0.93,-1.69,24.65,24.42,Low,Loser,Clinical Data,
MRK,2025-06-17,2025-06-17,NCT06242691,Safety and Efficacy of MK-1200 in Participants With Advanced Solid Tumors (MK-1200-002),PHASE1/PHASE2,Merck Sharp & Dohme LLC,Advanced Solid Tumors,304,MK-1200; Antiemetic,,-3.31,-2.06,79.49,76.86,Low,Loser,Clinical Data,
TRVI,2022-05-10,2022-05-10,NCT03497975,PRISM Study-Pruritus Relief Through Itch Scratch Modulation,PHASE2/PHASE3,Trevi Therapeutics,Prurigo Nodularis,353,Nalbuphine ER Tablets; Placebo Tablets,1528.5,6.67,-5.71,2.1,2.24,Medium,Gainer,Clinical Data,
IONS,2024-04-18,2024-04-18,NCT03815825,GOLDEN STUDY: A Study to Assess Safety and Efficacy of Multiple Doses of IONIS-FB-LRx in Participants With Geographic Atrophy Secondary to Age-Related Macular Degeneration (AMD),PHASE2,"Ionis Pharmaceuticals, Inc.",Macular Degeneration; Geographic Atrophy,332,IONIS-FB-LRx; Placebo,,-0.24,-0.56,40.91,40.81,Low,Loser,Clinical Data,
GILD,2023-09-22,2023-09-22,NCT02601313,Study of Brexucabtagene Autoleucel (KTE-X19) in Participants With Relapsed/Refractory Mantle Cell Lymphoma (Cohort 1 and Cohort 2),PHASE2,"Kite, A Gilead Company",Relapsed/Refractory Mantle Cell Lymphoma,105,brexucabtagene autoleucel; Cyclophosphamide; Fludarabine,,-0.35,-0.58,69.71,69.47,Low,Loser,Clinical Data,
NVS,2024-08-19,2024-08-19,NCT04541589,Study of Safety and Tolerability of CFZ533 in Patients With Sjögren's Syndrome,PHASE2,Novartis Pharmaceuticals,Sjogren's Syndrome,206,Iscalimab; Placebo,,1.07,2.12,110.59,111.77,Low,Gainer,Clinical Data,
BMY,2024-11-12,2024-11-12,NCT01658878,"An Immuno-therapy Study to Evaluate the Effectiveness, Safety and Tolerability of Nivolumab or Nivolumab in Combination With Other Agents in Patients With Advanced Liver Cancer",PHASE1/PHASE2,Bristol-Myers Squibb,Hepatocellular Carcinoma,657,Nivolumab; Sorafenib; Ipilimumab,,-1.34,-2.36,56.32,55.57,Low,Loser,Clinical Data,
NRC,2023-06-20,2023-06-20,NCT02933255,PROSTVAC in Combination With Nivolumab in Men With Prostate Cancer,PHASE1/PHASE2,National Cancer Institute (NCI),Prostate Cancer,24,PROSTVAC-V/F; Nivolumab; Prostatectomy,303.8,-1.22,-0.75,41.56,41.05,Low,Loser,Clinical Data,
NRC,2023-06-30,2023-06-30,NCT04417192,Olaparib Monotherapy and Olaparib + Pembrolizumab Combination Therapy for Ovarian Cancer,PHASE2,National Cancer Center Hospital East,Ovarian Cancer,30,Olaparib; Pembrolizumab,303.8,-0.55,0.87,40.34,40.11,Low,Loser,Clinical Data,
URGN,2024-12-30,2024-12-30,NCT03685448,ANZUP - Non-clear Cell Post Immunotherapy CABozantinib (UNICAB),PHASE2,Australian and New Zealand Urogenital and Prostate Cancer Trials Group,Renal Cell Carcinoma; Papillary Renal Cell Carcinoma Type 1; Papillary Renal Cell Carcinoma Type 2; Chromophobe Renal Cell Carcinoma; Sarcomatoid Renal Cell Carcinoma; Xp11.2 Translocation-Related Renal Cell Carcinoma,35,Cabozantinib,1015.8,-2.23,-1.02,10.76,10.52,Low,Loser,Clinical Data,
NRC,2018-12-28,2018-12-28,NCT02484430,Sapanisertib in Treating Patients With Relapsed and/or Refractory Acute Lymphoblastic Leukemia,PHASE2,National Cancer Institute (NCI),"B Acute Lymphoblastic Leukemia; B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); BCR-ABL1; B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative; Recurrent Adult Acute Lymphoblastic Leukemia; Refractory Adult Acute Lymphoblastic Leukemia; T Acute Lymphoblastic Leukemia",16,Laboratory Biomarker Analysis; Pharmacological Study; Sapanisertib,303.8,1.31,-0.08,33.23,33.67,Low,Gainer,Clinical Data,
NERV,2023-04-26,2023-04-26,NCT05154578,Immunogenicity and Safety of GBS-NN/NN2 in Pregnant Women,PHASE2,Minervax ApS,Group B Streptococcal Infection,269,GBS-NN/NN2 Vaccine; Placebo,285.6,11.59,15.88,2.33,2.6,Medium,Gainer,Clinical Data,
REGN,2022-05-30,2022-05-31,NCT04429503,Study of a High-Dose Aflibercept in Participants With Diabetic Eye Disease,PHASE2/PHASE3,Regeneron Pharmaceuticals,Diabetic Macular Edema; Type 1 Diabetes Mellitus; Type 2 Diabetes Mellitus,660,aflibercept; High-dose aflibercept,,-4.05,-4.89,688.15,660.28,Low,Loser,Clinical Data,
BPMC,2025-09-08,,NCT06922448,Study of BLU-808 in Allergic Rhinoconjunctivitis,PHASE2,Blueprint Medicines Corporation,Allergic Rhinoconjunctivitis,21,BLU-808; Placebo,,,,,,Unknown,Loser,Clinical Data,Insufficient price data
ANRO,2025-04-14,2025-04-14,NCT06391593,"PD, PK, and Safety of ALTO-203 in Patients With MDD",PHASE2,Alto Neuroscience,Major Depressive Disorder; Anhedonia,69,ALTO-203 25 μg; ALTO-203 75 μg; Placebo,611.7,-2.35,10.8,2.13,2.08,Low,Loser,Clinical Data,
PCVX,2023-01-10,2023-01-10,NCT05266456,"Safety, Tolerability, and Immunogenicity Study of a 24-Valent Pneumococcal Conjugate Vaccine (VAX-24) in Adults",PHASE1/PHASE2,"Vaxcyte, Inc.",Pneumococcal Vaccines,835,24 valent pneumococcal conjugate vaccine; 20 valent pneumococcal conjugate vaccine,8965.0,0.04,-7.06,45.92,45.94,Low,Gainer,Clinical Data,
BBOT,2024-10-21,2024-10-21,NCT04265651,Study of Infigratinib in Children With Achondroplasia,PHASE2,"QED Therapeutics, a BridgeBio company",Achondroplasia,84,Infigratinib 0.016 mg/kg; Infigratinib 0.032 mg/kg; Infigratinib 0.064 mg/kg,802.3,-0.1,-0.1,10.36,10.35,Low,Loser,Clinical Data,
GILD,2021-10-05,2021-10-05,NCT04143594,Study to Evaluate the Safety and Efficacy of Lenacapavir (GS-6207) in Combination With Other Antiretroviral Agents in People Living With HIV,PHASE2,Gilead Sciences,HIV-1-infection,183,Oral Lenacapavir; F/TAF; Subcutaneous Lenacapavir,,-0.24,-0.12,57.56,57.42,Low,Loser,Clinical Data,
NRC,2018-05-16,2018-05-16,NCT01902173,"Uprosertib, Dabrafenib, and Trametinib in Treating Patients With Stage IIIC-IV Cancer",PHASE1/PHASE2,National Cancer Institute (NCI),Hematopoietic and Lymphoid Cell Neoplasm; Locally Advanced Malignant Solid Neoplasm; Locally Advanced Melanoma; Metastatic Malignant Solid Neoplasm; Metastatic Melanoma; Stage IIIC Cutaneous Melanoma AJCC v7; Stage IV Cutaneous Melanoma AJCC v6 and v7; Unresectable Malignant Solid Neoplasm; Unresectable Melanoma,27,Biopsy; Biospecimen Collection; Computed Tomography,303.8,0.43,1.01,29.24,29.37,Low,Gainer,Clinical Data,
NRC,2024-06-24,2024-06-24,NCT04294641,Front Line Ibrutinib Without Corticosteroids for Newly Diagnosed Chronic Graft-versus-Host Disease,PHASE2,National Cancer Institute (NCI),Chronic GVHD,10,Ibrutinib; ECG; PFT's,303.8,-1.97,-7.57,24.12,23.64,Low,Loser,Clinical Data,
SNY,2024-04-02,2024-04-02,NCT05650554,Safety and Immunogenicity of Quadrivalent Influenza mRNA Vaccine MRT5413 in Adult Participants18 Years of Age and Older,PHASE1/PHASE2,"Sanofi Pasteur, a Sanofi Company",Influenza Immunization,682,Quadrivalent Influenza mRNA Vaccine MRT5413; Quadrivalent Recombinant Influenza Vaccine; Quadrivalent Influenza Standard Dose Vaccine,,-1.22,-0.68,44.36,43.82,Low,Loser,Clinical Data,
NVS,2015-11-26,2015-11-27,NCT01698905,Treatment-free Remission After Achieving Sustained MR4.5 on Nilotinib (ENESTop),PHASE2,Novartis Pharmaceuticals,Chronic Myeloid Leukemia,163,nilotinib,,-0.13,-0.83,52.99,52.92,Low,Loser,Clinical Data,
AZN,2010-06-30,2010-06-30,NCT00753545,Assessment of Efficacy of AZD2281 in Platinum Sensitive Relapsed Serous Ovarian Cancer,PHASE2,AstraZeneca,Ovarian Cancer,265,AZD2281; matching placebo,,-3.3,-2.44,27.03,26.14,Low,Loser,Clinical Data,
NRC,2025-10-17,2025-10-17,NCT06705530,"A Study to Evaluate the Tolerability, Safety, and Efficacy of an Anti-CD19 CAR-T Product in Patients With B-cell Lymphoproliferative Disorders",PHASE1/PHASE2,"National Research Center for Hematology, Russia","Non-Hodgkin Lymphoma, B-cell; Acute Lymphoblastic Leukemia ALL",58,Hem101,303.8,-0.6,2.14,11.58,11.51,Low,Loser,Clinical Data,
