ticker,event_date,event_type,move_pct,price_at_event,catalyst_type,catalyst_summary,drug_name,nct_id,indication,phase,is_pivotal,pivotal_evidence,press_release_url,primary_endpoint_met,primary_endpoint_result,ct_official_title,ct_phase,ct_enrollment,ct_conditions,ct_status,ct_sponsor,ct_allocation,ct_primary_completion,market_cap_m,current_price,cash_position_m,cash_runway_months,short_percent,institutional_ownership,analyst_target,analyst_rating,data_quality_score,errors,timestamp,data_quality_threshold_passed,is_valid_date,atr_pct,normalized_move,move_magnitude,avg_daily_move,move_class_abs,move_class_norm,move_class_combo,event_trading_date,title,sponsor,conditions,enrollment,interventions,move_2d_pct,price_before,price_after,move_class,price_error,close,volume,abs_move,atr_value,stock_relative_move
ABUS,2025-03-13,Gainer,4.08,,Clinical Data,,,NCT04980482,,PHASE2,,,,,,"A Randomized, Open-Label, Multicenter Study Investigating AB-729, Nucleos(t)Ide Analogue and Pegylated Interferon Alfa-2a Treatment in Subjects With Chronic Hepatitis B Infection",PHASE2,43.0,Chronic Hepatitis b,COMPLETED,Arbutus Biopharma Corporation,RANDOMIZED,2025-03-13,896.2,4.66,93.7,24.0,11.06,64.5,5.7629547,none,,,,False,,5.79,0.7,,1.68,VeryLow,Noise,Low,2025-03-13,"Open-Label Study of AB-729, Nucleos(t)Ide Analogue and Pegylated Interferon Alfa-2a in Subjects With Chronic Hepatitis B Infection",Arbutus Biopharma Corporation,Chronic Hepatitis b,43.0,AB-729; Peg-IFNα-2a,3.45,3.19,3.32,Low,,,,,,Low
NRC,2022-04-05,Gainer,0.22,,Clinical Data,,,NCT03989102,,PHASE2,,,,,,"Randomized, Placebo-Controlled, Double-Blind Study to Assess Safety, Immunogenicity, and Protective Efficacy of Radiation Attenuated Plasmodium Falciparum NF54 Sporozoites (PfSPZ Vaccine) During Malaria Transmission Season in Healthy African Adult Women of Childbearing Potential in Mali",PHASE2,324.0,Malaria,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),RANDOMIZED,2022-04-05,303.8,13.41,4.1,,16.98,48.4,,none,,,,False,,2.61,0.08,,1.9,VeryLow,Noise,Low,2022-04-05,"Safety, Immunogenicity, and Protective Efficacy of Radiation Attenuated Plasmodium Falciparum NF54 Sporozoites (PfSPZ Vaccine) During Malaria Transmission Season in Healthy African Adult Women of Childbearing Potential in Mali",National Institute of Allergy and Infectious Diseases (NIAID),Malaria,324.0,PfSPZ Vaccine; Normal Saline,2.07,36.18,36.27,Low,,,,,,Low
MRNA,2023-06-23,Loser,-1.64,,Clinical Data,,,NCT05249829,,PHASE2/PHASE3,,,,,,"A Phase 2/3, Randomized, Observer-blind, Active-controlled, Multicenter Study to Evaluate the Immunogenicity and Safety of Omicron Variant Vaccines in Comparison With mRNA-1273 (Prototype) Booster Vaccine",PHASE2/PHASE3,3548.0,SARS-CoV-2,COMPLETED,"ModernaTX, Inc.",RANDOMIZED,2023-06-23,20931.6,53.57,5799.0,37.0,22.2,77.5,42.25,hold,,,,False,,3.32,0.49,,1.69,VeryLow,Noise,Low,2023-06-23,A Study to Evaluate the Immunogenicity and Safety of Omicron Variant Vaccines in Comparison With mRNA-1273 Booster Vaccine for COVID-19,"ModernaTX, Inc.",SARS-CoV-2,3548.0,mRNA-1273.529; mRNA-1273; mRNA-1273.214,-0.06,120.48,118.5,Low,,,,,,Low
BMY,2021-06-13,Loser,-0.07,,Clinical Data,,,NCT03934216,,PHASE2,,,,,,"A Phase 2 Randomized, Double-Blind, Placebo-Controlled Study of the Safety and Efficacy of BMS-986165 in Subjects With Moderate to Severe Ulcerative Colitis",PHASE2,131.0,Ulcerative Colitis,COMPLETED,Bristol-Myers Squibb,RANDOMIZED,2021-06-13,127014.9,62.37,10673.0,,1.56,82.9,62.16,hold,,,,False,,1.64,0.04,,0.83,VeryLow,Noise,Low,2021-06-14,Safety and Efficacy of Deucravacitinib in Participants With Moderate to Severe Ulcerative Colitis,Bristol-Myers Squibb,Ulcerative Colitis,131.0,BMS-986165; Placebo,0.12,55.65,55.61,Low,,,,,,Low
NRC,2024-06-15,Loser,-0.16,,Clinical Data,,,NCT06711913,,PHASE2,,,,,,Effects of Intravenous Dexmedetomidine on Shivering After Cesarean Delivery Under Neuraxial Anesthesia - A Randomized Control Trial,PHASE2,60.0,Shivering,COMPLETED,Liaquat National Hospital & Medical College,RANDOMIZED,2024-06-15,303.8,13.41,4.1,,16.98,48.4,,none,,,,False,,4.66,0.03,,1.29,VeryLow,Noise,Low,2024-06-17,Role of Intravenous Dexmedetomidine in Reducing Shivering After Shivering Cesarean Section Due to Spinal Anesthesia,Liaquat National Hospital & Medical College,Shivering,60.0,Dexmedetomidine; Normal Saline (Placebo),-0.67,24.04,24.0,Low,,,,,,Low
NVS,2022-04-12,Loser,-1.15,,Clinical Data,,,NCT03839823,,PHASE2,,,,,,A Phase II Randomized Study of the Combination of Ribociclib Plus Goserelin Acetate With Hormonal Therapy Versus Physician Choice Chemotherapy in Premenopausal or Perimenopausal Patients With Hormone Receptor-positive/ HER2-negative Inoperable Locally Advanced or Metastatic Breast Cancer,PHASE2,222.0,Breast Cancer,COMPLETED,Novartis Pharmaceuticals,RANDOMIZED,2022-04-12,325954.3,168.62,11533.0,,0.39,7.1,145.78,hold,,,,False,,1.15,1.0,,0.76,VeryLow,Noise,Low,2022-04-12,Study to Compare the Combination of Ribociclib Plus Goserelin Acetate With Hormonal Therapy Versus Combination Chemotherapy in Premenopausal or Perimenopausal Patients With Advanced or Metastatic Breast Cancer,Novartis Pharmaceuticals,Breast Cancer,222.0,Docetaxel / Capecitabine; Capecitabine / Vinorelbine; Paclitaxel / Gemcitabine,-0.86,83.47,82.5,Low,,,,,,Low
NRC,2023-05-25,Loser,-0.23,,Clinical Data,,,NCT04847050,,PHASE2,,,,,,"A Trial of the Safety and Immunogenicity of the COVID-19 Vaccine (mRNA-1273) in Participants With Hematologic Malignancies and Various Regimens of Immunosuppression, and in Participants With Solid Tumors on PD1/PDL1 Inhibitor Therapy, Including Booster Doses of Vaccine",PHASE2,19.0,Solid Tumor Malignancy; Hematologic Malignancy; Leukemia; Lymphoma; Multiple Myeloma,COMPLETED,National Cancer Institute (NCI),NON_RANDOMIZED,2023-05-25,303.8,13.41,4.1,,16.98,48.4,,none,,,,False,,2.43,0.09,,1.81,VeryLow,Noise,Low,2023-05-25,"A Trial of the Safety and Immunogenicity of the COVID-19 Vaccine (mRNA-1273) in Participants With Hematologic Malignancies and Various Regimens of Immunosuppression, and in Participants With Solid Tumors on PD1/PDL1 Inhibitor Therapy",National Cancer Institute (NCI),Solid Tumor Malignancy; Hematologic Malignancy; Leukemia; Lymphoma; Multiple Myeloma,19.0,Messenger ribonucleic acid (mRNA)-1273 Vaccine; Messenger ribonucleic acid (mRNA)-1273 Vaccine Booster; ECG,-0.62,40.07,39.98,Low,,,,,,Low
NRC,2023-06-30,Loser,-0.55,,Clinical Data,,,NCT05475379,,PHASE1/PHASE2,,,,,,"A Randomized Control, Double Blinded, Non-inferiority Trial to Evaluate the Immunogenicity and Safety of Typhoid Vi Conjugate Vaccine 'Typhocon' in Bangladeshi Healthy Population",PHASE1/PHASE2,630.0,Typhoid,COMPLETED,"International Centre for Diarrhoeal Disease Research, Bangladesh",RANDOMIZED,2023-06-30,303.8,13.41,4.1,,16.98,48.4,,none,,,,False,,2.31,0.24,,1.37,VeryLow,Noise,Low,2023-06-30,Non-inferiority Trial of Locally Manufactured Typhoid Conjugate Vaccine 'Typhocon' in Bangladesh,"International Centre for Diarrhoeal Disease Research, Bangladesh",Typhoid,630.0,Typhoid Vi polysaccharide-diphtheria toxoid conjugate vaccine (Vi-DT),0.87,40.34,40.11,Low,,,,,,Low
ABBV,2023-10-02,Loser,-0.54,,Clinical Data,,,NCT04832724,,PHASE2,,,,,,"A Phase 2, Open-label Study to Explore the Pharmacodynamics of Two Doses in Two Formulations of RGX-314 Gene Therapy Administered Via Subretinal Delivery in Participants With Neovascular Age-related Macular Degeneration",PHASE2,60.0,Neovascular Age-related Macular Degeneration; Wet Macular Degeneration; Wet Age-related Macular Degeneration,COMPLETED,AbbVie,NON_RANDOMIZED,2023-10-02,410356.6,232.08,5257.0,,1.29,76.4,248.68967,buy,,,,False,,1.66,0.33,,0.77,VeryLow,Noise,Low,2023-10-02,RGX-314 Gene Therapy Pharmacodynamic Study for Neovascular Age-related Macular Degeneration (nAMD),AbbVie,Neovascular Age-related Macular Degeneration; Wet Macular Degeneration; Wet Age-related Macular Degeneration,60.0,RGX-314,-1.09,136.47,135.73,Low,,,,,,Low
AZN,2023-02-17,Gainer,1.5,,Clinical Data,,,NCT04484935,,PHASE2,,,,,,"A Phase 2, Open-label, Uncontrolled, Single-dose Study to Evaluate the Safety and Tolerability, Pharmacokinetics, and Occurrence of Antidrug Antibody for Nirsevimab in Immunocompromised Children ≤ 24 Months of Age",PHASE2,100.0,RSV Infection,COMPLETED,AstraZeneca,,2023-02-17,323156.6,208.45,5719.0,,0.16,26.6,164.65556,buy,,,,False,,1.96,0.77,,1.27,VeryLow,Noise,Low,2023-02-17,"Evaluate the Safety and Tolerability, for Nirsevimab in Immunocompromised Children",AstraZeneca,RSV Infection,100.0,Nirsevimab,2.41,126.23,128.12,Low,,,,,,Low
