ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type,abs_move
DRUG,2024-01-02,820.4,28.6,1.84,210200,7.61,3.76,Gainer,,28.6
LNTH,2025-08-06,5093.4,-28.58,51.87,13957500,7.02,4.07,Loser,,28.58
RLMD,2024-12-05,334.4,-28.57,0.45,7655600,89.83,0.32,Loser,,28.57
ATHE,2024-12-26,62.4,28.57,3.15,121500,8.07,3.54,Gainer,,28.57
CABA,2025-08-13,319.6,28.57,1.71,5611700,7.17,3.98,Gainer,,28.57
RIGL,2023-05-18,630.6,-28.57,13.0,1310420,13.63,2.1,Loser,,28.57
RZLT,2025-12-12,307.2,28.57,1.8,35289500,73.75,0.39,Gainer,,28.57
SGMO,2024-08-06,160.7,28.57,0.99,104789600,23.81,1.2,Gainer,,28.57
QTTB,2024-12-12,56.1,-28.57,4.25,2491600,94.45,0.3,Loser,,28.57
AGL,2024-01-05,244.3,-28.56,8.63,36888200,9.53,3.0,Loser,,28.56
ALDX,2024-08-08,328.5,28.53,4.19,4759100,8.55,3.34,Gainer,,28.53
RLMD,2024-07-09,334.4,28.53,4.1,418000,3.93,7.26,Gainer,,28.53
ARMP,2023-08-02,391.7,28.52,3.29,497800,11.94,2.39,Gainer,,28.52
SABS,2024-10-16,195.2,28.51,3.11,1268000,7.67,3.72,Gainer,,28.51
EOLS,2025-08-06,278.7,-28.51,6.37,13692700,9.94,2.87,Loser,,28.51
SCLX,2025-07-23,57.7,28.51,11.36,616700,7.39,3.85,Gainer,,28.51
SABS,2023-10-19,195.2,28.5,7.98,14300,11.25,2.53,Gainer,,28.5
DSGN,2024-05-07,594.7,28.49,4.69,1786400,6.02,4.74,Gainer,,28.49
MIRA,2023-12-06,53.2,-28.46,2.09,339100,46.76,0.61,Loser,,28.46
IFRX,2025-11-10,62.3,28.46,1.58,83568000,12.18,2.34,Gainer,,28.46
TLSA,2024-08-07,184.5,28.44,1.4,1317500,8.11,3.51,Gainer,,28.44
NBTX,2025-10-13,1502.0,28.43,30.31,175500,10.92,2.6,Gainer,,28.43
VTYX,2024-02-28,1002.3,28.43,7.77,15976500,12.59,2.26,Gainer,,28.43
ARDX,2024-05-03,1591.5,28.42,8.72,24971200,5.11,5.56,Gainer,,28.42
CPIX,2025-02-19,73.6,28.42,6.19,1489200,15.41,1.85,Gainer,,28.42
ORGO,2024-11-13,407.4,28.41,4.43,2497800,5.32,5.34,Gainer,,28.41
OSTX,2025-01-17,51.8,-28.4,2.95,1638300,35.74,0.79,Loser,,28.4
OKYO,2023-08-28,87.8,28.39,2.8,1189300,9.59,2.96,Gainer,,28.39
IXHL,2025-08-22,50.6,28.38,17.64,13800380,12.04,2.36,Gainer,,28.38
MGNX,2024-07-31,125.9,-28.38,3.76,5386400,12.72,2.23,Loser,,28.38
PVLA,2023-03-29,1598.2,-28.38,84.8,19106,16.17,1.76,Loser,,28.38
SGMT,2024-02-12,185.7,28.37,8.01,2663400,24.21,1.17,Gainer,,28.37
SGMO,2024-07-26,160.7,28.36,0.86,123708500,14.62,1.94,Gainer,,28.36
NGNE,2025-07-01,363.9,28.36,19.19,1350500,9.29,3.05,Gainer,,28.36
BCYC,2024-09-09,397.5,28.33,26.36,874100,5.15,5.51,Gainer,,28.33
FULC,2025-05-02,558.1,28.31,5.62,4178500,7.49,3.78,Gainer,,28.31
VKTX,2024-07-25,3910.4,28.31,64.68,20631500,7.26,3.9,Gainer,,28.31
SIGA,2024-05-08,463.3,-28.3,6.79,4170900,8.65,3.27,Loser,,28.3
AKBA,2023-02-10,347.6,-28.3,0.8,14817500,17.59,1.61,Loser,,28.3
BMEA,2023-11-29,96.9,28.27,12.75,5441600,8.74,3.23,Gainer,,28.27
ENGN,2023-12-07,677.2,-28.27,7.41,222700,27.08,1.04,Loser,,28.27
NUVL,2024-09-16,7917.2,28.27,112.17,2925600,4.49,6.3,Gainer,,28.27
EOLS,2025-01-21,278.7,28.26,13.48,2935300,6.05,4.67,Gainer,,28.26
HRTX,2025-08-08,218.2,-28.26,1.32,14961600,9.36,3.02,Loser,,28.26
TCRX,2024-12-10,60.2,-28.23,3.33,1947500,12.2,2.31,Loser,,28.23
NAUT,2025-05-13,305.7,28.22,0.93,814600,6.5,4.34,Gainer,,28.22
ABSI,2025-10-15,412.0,28.21,5.0,17205500,8.32,3.39,Gainer,,28.21
EQ,2025-04-01,110.8,28.21,0.5,274200,17.14,1.65,Gainer,,28.21
EQ,2023-03-10,110.8,-28.21,0.56,532100,17.98,1.57,Loser,,28.21
OMER,2024-11-21,854.4,28.19,7.73,1632000,8.6,3.28,Gainer,,28.19
AKBA,2025-03-20,347.6,-28.17,2.04,26580500,12.18,2.31,Loser,,28.17
ENTX,2024-02-15,63.7,28.17,1.05,216500,8.92,3.16,Gainer,,28.17
KLRS,2023-08-21,195.6,28.17,83.72,237178,7.04,4.0,Gainer,,28.17
ONMD,2024-02-02,52.2,-28.14,1.2,1165300,28.96,0.97,Loser,,28.14
CRL,2025-04-10,8784.5,-28.13,99.95,6599400,11.09,2.54,Loser,,28.13
ONMD,2024-07-09,52.2,28.13,1.23,1588200,9.09,3.09,Gainer,,28.13
AQST,2025-09-04,488.0,28.1,5.06,13615100,5.22,5.39,Gainer,,28.1
ENLV,2023-12-22,273.0,28.07,2.92,584400,8.72,3.22,Gainer,,28.07
IBIO,2025-08-13,97.4,28.07,0.73,2279900,5.97,4.7,Gainer,,28.07
DRUG,2023-08-09,820.4,-28.06,3.0,785000,24.75,1.13,Loser,,28.06
OCUL,2025-12-08,1946.2,28.06,16.11,16927000,5.32,5.27,Gainer,,28.06
CGTX,2025-08-12,96.2,28.06,1.1,16786300,10.47,2.68,Gainer,,28.06
ANVS,2023-12-22,71.0,28.05,14.47,753400,8.42,3.33,Gainer,,28.05
MCRB,2024-06-07,79.1,-28.02,12.28,917200,18.15,1.54,Loser,,28.02
