ticker,event_date,drug_name,nct_id,target_large_move,feat_asset_event_sequence_num,feat_asset_trial_share,feat_cash_runway_proxy,feat_company_event_sequence_num,feat_days_to_primary_completion,feat_pipeline_depth_score,feat_pivotal_proxy_score,feat_time_since_last_asset_event,feat_time_since_last_company_event,feat_active_not_recruiting_flag,feat_blinded_flag,feat_cns_flag,feat_completed_flag,feat_oncology_flag,feat_open_label_flag,feat_primary_completion_imminent_30d,feat_primary_completion_imminent_90d,feat_rare_disease_flag,feat_recent_asset_event_flag,feat_recent_company_event_flag,feat_recent_completion_flag,feat_small_trial_flag,feat_therapeutic_superclass_CNS,feat_therapeutic_superclass_Cardiovascular,feat_therapeutic_superclass_Dermatology,feat_therapeutic_superclass_Endocrine/Metabolic,feat_therapeutic_superclass_GI/Hepatology,feat_therapeutic_superclass_Immunology,feat_therapeutic_superclass_Infectious Disease,feat_therapeutic_superclass_Musculoskeletal,feat_therapeutic_superclass_Oncology,feat_therapeutic_superclass_Respiratory,feat_completion_recency_bucket_far_180_plus,feat_completion_recency_bucket_imminent_0_30,feat_completion_recency_bucket_medium_91_180,feat_completion_recency_bucket_near1_90,feat_completion_recency_bucket_past,feat_completion_recency_bucket_unknown,split
BMY,2013-05-15,nivolumab,NCT01354431,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,1428.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2013-07-01,Cytarabine,NCT01238211,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2013-07-23,Laboratory Biomarker Analysis,NCT00551070,0,1,0.0,0.1095,2,0.0,0.2773,0.0,155.0,22.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
LLY,2013-08-13,Necitumumab,NCT00981058,0,1,0.0,0.0073,5,-57.0,0.2773,0.0,155.0,135.0,0.0,0,0,1.0,1,1,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
NVS,2013-12-06,Lapatinib,NCT00490139,0,1,0.0,0.1095,5,0.0,0.2773,0.0,155.0,492.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2013-12-31,Aldesleukin,NCT01041638,0,1,0.0,0.1095,3,0.0,0.2773,0.0,155.0,161.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
BMY,2014-01-22,Nivolumab,NCT01721759,0,1,0.0,0.1095,3,0.0,0.2773,0.0,155.0,252.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2014-02-05,Paclitaxel,NCT00238420,0,1,0.0,0.1095,4,0.0,0.2773,0.0,155.0,36.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2014-02-15,AZD6244,NCT01306045,0,1,0.0,0.0135,5,-3.0,0.2773,0.0,155.0,10.0,0.0,0,0,1.0,1,0,0.0,0.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,train
BMY,2014-06-24,BMS-936558 (Nivolumab),NCT01721772,0,1,0.0,0.1095,4,0.0,0.2773,0.0,155.0,153.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
BMY,2014-07-24,Nivolumab,NCT01927419,0,2,0.0,0.1095,5,0.0,0.2773,0.0,183.0,30.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
BMY,2014-09-02,Lenalidomide,NCT01239797,0,1,0.0,0.1095,6,0.0,0.2773,0.0,155.0,40.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
AMGN,2014-10-07,Placebo,NCT00556374,0,1,0.0,0.1095,1,0.0,0.2773,0.0,155.0,24.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NRC,2014-10-31,Biopsy,NCT01253070,0,1,0.0,0.1095,6,0.0,0.2773,0.0,155.0,258.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
BMY,2014-11-17,Nivolumab,NCT01642004,0,3,0.0,0.1095,7,0.0,0.2773,0.0,116.0,76.0,0.0,0,0,1.0,1,0,1.0,1.0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
NVS,2014-11-28,Everolimus,NCT01524783,0,1,0.0,0.1095,6,0.0,0.2773,0.0,155.0,357.0,0.0,0,0,1.0,1,0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,train
