ticker,event_date,v_actual_date,event_type,move_pct,atr_pct,normalized_move,close,market_cap_m,nct_id,drug_name,indication,ct_conditions,ct_phase,ct_enrollment,ct_status,ct_sponsor,ct_official_title,ct_allocation,ct_primary_completion,catalyst_type,v_is_material,data_tier,match_type,days_offset,move_class_abs,stock_movement_atr_normalized,move_class_norm,target_large_move
NRC,2021-09-01,2021-09-01,Loser,-0.24,,,48.08,303.8,NCT03120949,Olokizumab 64 mg SC q4w,Rheumatoid Arthritis,Rheumatoid Arthritis,PHASE3,2106,COMPLETED,"R-Pharm International, LLC",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GILD,2021-09-03,2021-09-03,Loser,-0.53,,,60.35,,NCT04026165,SEL,Diabetic Kidney Disease,Diabetic Kidney Disease,PHASE2,384,COMPLETED,Gilead Sciences,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2021-09-03,2021-09-03,Loser,-1.66,,,47.62,303.8,NCT02535338,Erlotinib Hydrochloride,Recurrent Lung Non-Small Cell Carcinoma; Stage IV Lung Non-Small Cell Cancer AJCC v7,Recurrent Lung Non-Small Cell Carcinoma; Stage IV Lung Non-Small Cell Cancer AJCC v7,PHASE1/PHASE2,11,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2021-09-07,2021-09-07,Loser,-1.13,,,41.56,,NCT02394028,Etrolizumab,Crohn Disease,Crohn Disease,PHASE3,1035,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-09-08,2021-09-08,Loser,-0.51,,,36.92,,NCT04360187,Crisaborole Ointment,Atopic Dermatitis,Atopic Dermatitis,PHASE3,391,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2021-09-09,2021-09-09,Loser,-2.47,,,44.35,303.8,NCT03593655,Dapivirine vaginal ring,HIV Infections,HIV Infections,PHASE2,247,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2021-09-13,2021-09-13,Loser,-1.88,,,42.91,303.8,NCT04583956,Placebo,COVID-19,COVID-19,PHASE2,214,COMPLETED,National Institute of Allergy and Infectious Diseases (NIAID),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2021-09-23,2021-09-23,Gainer,0.93,,,69.3,,NCT03713632,Secukinumab,Hidradenitis Suppurativa,Hidradenitis Suppurativa,PHASE3,545,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AMGN,2021-09-23,2021-09-23,Gainer,0.66,,,186.54,,NCT03777436,Apremilast,Psoriasis,Psoriasis,PHASE3,289,COMPLETED,Amgen,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2021-09-24,2021-09-24,Loser,-0.22,,,222.1,,NCT03616964,Baricitinib,Systemic Lupus Erythematosus,Systemic Lupus Erythematosus,PHASE3,778,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
VNDA,2021-09-24,2021-09-24,Loser,-0.4,,,17.26,526.7,NCT04849559,Tradipitant,Healthy Volunteer,Healthy Volunteer,PHASE1/PHASE2,27,COMPLETED,Vanda Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-09-29,2021-09-29,Gainer,1.14,,,34.56,,NCT04516291,Vupanorsen,Dyslipidemias; Hyperlipidemias; Hyperlipoproteinemias,Dyslipidemias; Hyperlipidemias; Hyperlipoproteinemias,PHASE2,286,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
ABBV,2021-09-29,2021-09-29,Gainer,1.4,,,91.99,,NCT04380142,ABBV-951,Parkinson's Disease (PD),Parkinson's Disease (PD),PHASE3,174,COMPLETED,AbbVie,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
ABBV,2021-09-30,2021-09-30,Loser,-0.89,,,91.17,,NCT03738215,Cariprazine,Major Depressive Disorder,Major Depressive Disorder,PHASE3,759,COMPLETED,AbbVie,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-09-30,2021-09-30,Loser,-1.19,,,34.14,,NCT04032093,RSV vaccine,Respiratory Tract Infection,Respiratory Tract Infection,PHASE2,1153,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
LLY,2021-10-01,2021-10-01,Loser,-0.63,,,220.09,,NCT04450407,LY3209590,Type 1 Diabetes Mellitus,Type 1 Diabetes Mellitus,PHASE2,266,COMPLETED,Eli Lilly and Company,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
CRDL,2021-10-04,2021-10-04,Loser,-10.13,10.21,0.99,3.55,113.9,NCT03158532,Nitroglycerin I,Injury of Radial Artery,Injury of Radial Artery,PHASE3,2040,COMPLETED,Instituto de Cardiologia de Santa Catarina,Prevention of Radial Artery Occlusion After Transradial Access Using Nitroglycerin,RANDOMIZED,2021-10-01,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,3,High,0.992,Noise,0
SNY,2021-10-05,2021-10-05,Loser,-0.1,,,41.16,,NCT03347396,BIVV009,"Agglutinin Disease, Cold","Agglutinin Disease, Cold",PHASE3,24,COMPLETED,"Bioverativ, a Sanofi company",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AUPH,2021-10-06,2021-10-06,Loser,-11.42,8.94,1.28,18.85,1868.2,NCT03597464,Voclosporin,Lupus Nephritis,Lupus Nephritis,PHASE3,216,COMPLETED,Aurinia Pharmaceuticals Inc.,"A Randomized, Controlled, Double-blind, Continuation Study Comparing the Long-term Safety and Efficacy of Voclosporin (23.7 mg Twice Daily) With Placebo in Subjects With Lupus Nephritis",RANDOMIZED,2021-10-07,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,1,High,1.277,Noise,0
OPK,2021-10-08,2021-10-08,Loser,-1.34,,,3.69,952.5,NCT04551911,Rayaldee,COVID-19; Coronavirus; SARS-CoV2 Infection,COVID-19; Coronavirus; SARS-CoV2 Infection,PHASE2,171,COMPLETED,"OPKO Health, Inc.",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
SABS,2021-10-08,2021-10-08,Gainer,0.05,,,100.75,195.2,NCT04850898,SAB-176,Influenza A H1N1,Influenza A H1N1,PHASE2,62,COMPLETED,"SAb Biotherapeutics, Inc.",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
AZN,2021-10-08,2021-10-08,Gainer,0.4,,,109.99,,NCT03286842,Olaparib,HER2-ve Metastatic Breast Cancer; Germline BRCA1/2 Mutations; Somatic BRCA1/2 Mutations,HER2-ve Metastatic Breast Cancer; Germline BRCA1/2 Mutations; Somatic BRCA1/2 Mutations,PHASE3,256,COMPLETED,AstraZeneca,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-10-10,2021-10-10,Loser,-0.92,,,33.39,,NCT04571060,Zavegepant,Migraine,Migraine,PHASE3,1978,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PTGX,2021-10-11,2021-10-11,Gainer,93.86,10.86,8.64,35.36,5756.4,NCT04202965,PTG-300,Hereditary Hemochromatosis,Hereditary Hemochromatosis,PHASE2,16,COMPLETED,"Protagonist Therapeutics, Inc.",Open-label Study of PTG-300 in Subjects With Hereditary Hemochromatosis,NA,2021-10-06,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,5,Extreme,8.643,Extreme,1
MRK,2021-10-11,2021-10-11,Loser,-0.87,,,69.5,,NCT03845140,L-PZQ ODT 50 mg/kg,Schistosomiasis,Schistosomiasis,PHASE3,288,COMPLETED,"Merck KGaA, Darmstadt, Germany",,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PTGX,2021-10-12,2021-10-12,Loser,-10.29,12.67,0.81,31.72,5756.4,NCT04202965,PTG-300,Hereditary Hemochromatosis,Hereditary Hemochromatosis,PHASE2,16,COMPLETED,"Protagonist Therapeutics, Inc.",Open-label Study of PTG-300 in Subjects With Hereditary Hemochromatosis,NA,2021-10-06,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,6,High,0.812,Noise,0
NRC,2021-10-14,2021-10-14,Gainer,0.21,,,38.93,303.8,NCT01993719,Aldesleukin,Metastatic Melanoma,Metastatic Melanoma,PHASE2,33,COMPLETED,National Cancer Institute (NCI),,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
ABBV,2021-10-15,2021-10-15,Gainer,0.39,,,93.53,,NCT03345849,Upadacitinib,Crohn's Disease,Crohn's Disease,PHASE3,526,COMPLETED,AbbVie,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
PFE,2021-10-19,2021-10-19,Gainer,1.86,,,33.41,,NCT04091087,crisaborole ointment,Stasis Dermatitis,Stasis Dermatitis,PHASE2,66,COMPLETED,Pfizer,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
RHHBY,2021-10-21,2021-10-21,Gainer,2.26,,,41.26,,NCT02257567,Bendamustine,Lymphoma,Lymphoma,PHASE1/PHASE2,331,COMPLETED,Hoffmann-La Roche,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NVS,2021-10-22,2021-10-22,Gainer,0.3,,,70.42,,NCT03524612,eltrombopag,Immune Thrombocytopenic Purpura (ITP),Immune Thrombocytopenic Purpura (ITP),PHASE2,105,COMPLETED,Novartis Pharmaceuticals,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
NRC,2021-10-25,2021-10-25,Gainer,0.58,,,39.0,303.8,NCT03721510,PGT121 + VRC07-523LS,HIV/AIDS,HIV/AIDS,PHASE1/PHASE2,19,COMPLETED,International AIDS Vaccine Initiative,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
IFRX,2021-10-28,2021-10-28,Gainer,41.96,7.7,5.45,4.06,62.3,NCT04333420,IFX-1 + BSC,Severe COVID-19 Pneumonia,Severe COVID-19 Pneumonia,PHASE2/PHASE3,399,COMPLETED,InflaRx GmbH,"A Pragmatic Adaptive Randomized, Controlled Phase II/III Multicenter Study of IFX-1 in Patients With Severe COVID-19 Pneumonia",RANDOMIZED,2021-10-31,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,3,Extreme,5.449,High,1
VRTX,2021-10-29,2021-10-29,Gainer,1.61,,,184.93,,NCT03601637,LUM,Cystic Fibrosis,Cystic Fibrosis,PHASE3,61,COMPLETED,Vertex Pharmaceuticals Incorporated,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
GLUE,2021-10-29,2021-10-29,Loser,-13.63,9.24,1.47,23.45,1353.3,NCT03521102,Acetaminophen 1000mg IV,Acute Pain,Acute Pain,PHASE2,162,COMPLETED,Montefiore Medical Center,An ED-based Randomized Trial of IV Acetaminophen Versus IV Hydromorphone for Elderly Adults With Acute Severe Pain,RANDOMIZED,2021-10-30,Clinical Data,True,ctgov_crossmatch,ctgov_cross_match,1,High,1.475,Noise,0
MRK,2021-10-29,2021-10-29,Gainer,1.73,,,76.56,,NCT04016714,V114,Pneumococcal Infections,Pneumococcal Infections,PHASE3,1191,COMPLETED,Merck Sharp & Dohme LLC,,,,Clinical Data,True,ctgov_completion,ctgov_neg_sample,0,Low,,,0
