ticker,event_date,market_cap_m,move_pct,close,volume,atr_pct,normalized_move,event_type,catalyst_type
MNOV,2020-07-27,71.3,95.04,11.0,82447600,5.8,16.39,Gainer,
PTGX,2021-10-11,5756.4,93.86,35.36,45683600,10.86,8.64,Gainer,
VALN,2022-06-21,963.5,93.14,26.48,363500,7.77,11.99,Gainer,
IMUX,2018-09-12,122.7,-92.86,18.0,928385,189.61,0.49,Loser,
TRVI,2020-03-31,1528.5,92.4,3.29,3332800,35.63,2.59,Gainer,
MSLE,2022-09-01,256.9,-92.31,0.36,33,167.0,0.55,Loser,
TNXP,2020-02-27,178.6,92.22,1107200.0,141,13.12,7.03,Gainer,
IFRX,2019-06-05,62.3,-91.79,3.06,34665400,132.08,0.69,Loser,
XTNT,2020-10-02,79.8,91.46,1.57,112349700,9.24,9.9,Gainer,
TNXP,2020-07-20,178.6,91.36,992000.0,416,7.13,12.81,Gainer,
RIGL,2020-07-14,630.6,91.2,41.3,25850860,7.43,12.27,Gainer,
IBRX,2020-01-13,9633.0,91.01,6.8,4156800,10.55,8.63,Gainer,
ABEO,2019-09-03,277.5,90.91,73.5,925280,9.05,10.05,Gainer,
IMUX,2019-06-24,122.7,90.86,17.75,1597100,7.17,12.67,Gainer,
RCUS,2020-04-16,2520.4,89.35,29.5,4975400,7.73,11.55,Gainer,
MNKD,2018-09-04,1007.2,89.09,2.08,51912900,6.01,14.82,Gainer,
KALA,2022-03-08,346.3,88.52,57.5,591414,10.09,8.78,Gainer,
NRXP,2021-05-20,55.1,88.01,360.8,285130,16.56,5.32,Gainer,
MIST,2020-03-24,145.6,-87.86,1.7,8438500,165.07,0.53,Loser,
PRTA,2022-09-28,466.7,87.52,58.0,10948200,5.25,16.69,Gainer,
VKTX,2018-09-18,3910.4,87.3,19.46,51712600,7.35,11.88,Gainer,
IVVD,2021-11-29,476.6,86.43,46.83,18402600,8.47,10.2,Gainer,
ACET,2019-11-15,69.6,-86.29,122.08,233081,88.21,0.98,Loser,
TARA,2019-03-28,340.8,-85.6,20.04,473318,106.73,0.8,Loser,
FBRX,2020-02-20,378.6,85.57,337.5,48658,7.17,11.93,Gainer,
HELP,2020-11-10,366.7,-85.1,2.96,0,28.56,2.98,Loser,
TENX,2020-12-29,74.9,85.05,3168.0,144707,8.45,10.07,Gainer,
VTVT,2018-04-18,150.3,84.87,88.0,746885,23.71,3.58,Gainer,
NGNE,2018-06-27,363.9,-84.72,46.8,717830,58.62,1.45,Loser,
ACHV,2019-02-22,242.7,84.36,66.0,3444670,7.94,10.63,Gainer,
INDV,2022-11-23,4090.8,-84.06,3.13,0,31.83,2.64,Loser,
PTGX,2020-05-08,5756.4,83.7,14.2,35328400,6.64,12.6,Gainer,
TNXP,2018-11-29,178.6,83.42,44608000.0,3,13.82,6.04,Gainer,
RCKT,2020-12-09,542.2,83.39,58.74,8365300,6.09,13.68,Gainer,
PGEN,2020-06-02,1341.0,83.33,3.96,31421000,9.41,8.86,Gainer,
RZLT,2019-05-20,307.2,83.33,9.9,20,9.6,8.68,Gainer,
MSLE,2018-04-18,256.9,82.61,10.08,263,6.79,12.17,Gainer,
MSLE,2018-06-20,256.9,82.54,27.6,2623,4.83,17.1,Gainer,
CLDX,2020-06-11,1999.5,82.5,8.76,61347800,7.13,11.56,Gainer,
FBRX,2021-09-03,378.6,-82.3,126.5,1626836,62.51,1.32,Loser,
ORKA,2018-10-01,1665.8,82.14,118.49,39677,6.13,13.41,Gainer,
PALI,2022-11-22,264.1,81.9,60.3,4157060,22.14,3.7,Gainer,
HYFT,2020-02-21,52.8,81.16,2.5,27960,9.97,8.14,Gainer,
CRVS,2020-07-07,1529.6,80.84,4.95,97137800,8.84,9.14,Gainer,
ORGO,2019-01-10,407.4,80.75,148.85,4300,15.45,5.23,Gainer,
KOD,2022-02-23,1636.1,-80.42,9.86,26802500,66.66,1.21,Loser,
SYRE,2022-08-19,3378.0,80.2,22.75,3156960,7.21,11.13,Gainer,
OCGN,2021-02-02,595.7,80.11,3.26,410442100,12.34,6.49,Gainer,
RLMD,2022-10-13,334.4,-79.57,6.47,19661000,51.51,1.54,Loser,
DBVT,2022-06-09,1153.6,79.56,6.5,10029750,5.55,14.32,Gainer,
IRD,2020-02-11,286.9,79.41,14.64,5062050,6.2,12.8,Gainer,
IVVD,2021-12-14,476.6,-78.81,7.26,41152900,118.88,0.66,Loser,
AUPH,2019-12-05,1868.2,78.78,15.0,41506400,6.15,12.82,Gainer,
PRAX,2022-06-06,9341.1,-78.11,28.2,2336667,71.66,1.09,Loser,
VTVT,2018-04-10,150.3,-78.1,28.56,201960,74.51,1.05,Loser,
LXRX,2020-12-08,614.3,78.03,3.08,204340200,8.91,8.76,Gainer,
KRRO,2021-03-23,114.2,-77.98,399.5,388726,67.02,1.16,Loser,
PALI,2022-12-29,264.1,77.9,48.3,895953,12.72,6.13,Gainer,
PLX,2019-10-17,231.6,77.78,3.2,2728510,10.16,7.66,Gainer,
FBRX,2019-09-12,378.6,-77.75,348.75,40071,58.72,1.32,Loser,
SAVA,2018-08-15,110.1,77.48,1.97,18880980,13.36,5.8,Gainer,
IMUX,2022-10-21,122.7,-77.39,2.08,25310400,67.44,1.15,Loser,
MBOT,2019-12-23,161.9,77.37,10.11,6482000,7.73,10.0,Gainer,
DWTX,2022-09-19,91.4,-77.19,50.0,157712,42.37,1.82,Loser,
