ticker,event_date,move_pct,atr_pct,normalized_move,event_type,market_cap_m,match_type,catalyst_type
FBRX,2020-02-21,111.11,7.51,14.79,Gainer,378.6,unmatched,
MIRM,2019-12-16,110.99,7.62,14.57,Gainer,5526.3,unmatched,
ALT,2020-02-28,110.23,6.13,17.97,Gainer,539.7,unmatched,
PEPG,2022-09-28,110.19,10.68,10.31,Gainer,427.6,unmatched,
LXRX,2021-01-14,105.36,6.86,15.36,Gainer,614.3,unmatched,
MSLE,2022-08-01,104.08,5.27,19.75,Gainer,256.9,unmatched,
ABOS,2022-09-28,103.83,8.03,12.93,Gainer,190.2,unmatched,
SLNO,2022-12-19,103.74,8.29,12.52,Gainer,2098.5,unmatched,
VANI,2021-03-08,103.28,9.38,11.02,Gainer,99.9,unmatched,
PVLA,2021-05-25,103.24,6.09,16.96,Gainer,1598.2,unmatched,
SAVA,2018-01-09,103.15,,,Gainer,110.1,unmatched,
SPRB,2021-12-17,102.82,7.58,13.56,Gainer,58.8,unmatched,
XENE,2021-10-04,101.92,5.76,17.7,Gainer,3340.6,unmatched,
ATHE,2020-06-30,101.69,7.69,13.23,Gainer,62.4,unmatched,
VKTX,2018-05-31,101.01,6.09,16.59,Gainer,3910.4,unmatched,
NAUT,2021-02-08,100.09,5.5,18.2,Gainer,305.7,unmatched,
QIPT,2018-09-14,100.0,7.58,13.2,Gainer,161.4,unmatched,
ATHE,2020-03-23,100.0,23.19,4.31,Gainer,62.4,unmatched,
KALA,2022-12-29,99.04,7.4,13.38,Gainer,346.3,unmatched,
INKT,2022-08-15,98.83,8.69,11.37,Gainer,51.4,unmatched,
ORKA,2019-05-01,98.64,8.94,11.03,Gainer,1665.8,unmatched,
SLNO,2019-03-15,98.52,11.75,8.38,Gainer,2098.5,unmatched,
TSHA,2022-10-25,97.35,9.4,10.35,Gainer,1240.9,unmatched,
MSLE,2022-04-26,-97.23,543.4,0.18,Loser,256.9,unmatched,
MSLE,2022-05-16,-97.22,857.2,0.11,Loser,256.9,unmatched,
